iter	Passed	Remaining
0	0	78
1	1	72
2	2	69
3	2	64
4	3	64
5	4	64
6	4	64
7	5	63
8	6	65
9	7	65
10	7	63
11	8	62
12	9	61
13	10	61
14	10	60
15	11	59
16	12	59
17	12	57
18	13	57
19	14	56
20	14	55
21	15	54
22	15	53
23	16	52
24	17	52
25	18	52
26	18	51
27	19	50
28	20	49
29	21	49
30	21	48
31	22	47
32	23	47
33	23	46
34	25	46
35	25	45
36	26	44
37	27	44
38	28	43
39	29	43
40	29	42
41	30	41
42	30	40
43	31	39
44	32	39
45	32	38
46	33	37
47	34	37
48	35	36
49	35	35
50	36	35
51	37	34
52	38	33
53	38	33
54	39	32
55	40	31
56	40	30
57	41	30
58	42	29
59	43	28
60	44	28
61	44	27
62	45	26
63	46	25
64	46	25
65	47	24
66	48	23
67	48	22
68	49	22
69	50	21
70	51	20
71	51	20
72	52	19
73	53	18
74	53	17
75	54	17
76	55	16
77	56	15
78	57	15
79	57	14
80	58	13
81	59	13
82	60	12
83	60	11
84	61	10
85	62	10
86	63	9
87	63	8
88	64	7
89	65	7
90	65	6
91	66	5
92	67	5
93	68	4
94	69	3
95	69	2
96	70	2
97	72	1
98	73	0
99	73	0
