iter	Passed	Remaining
0	163	163822
1	165	82760
2	166	55374
3	167	41714
4	169	33658
5	169	28158
6	170	24222
7	171	21249
8	172	18958
9	172	17120
10	173	15622
11	174	14391
12	175	13335
13	176	12417
14	176	11621
15	177	10922
16	178	10303
17	178	9751
18	179	9260
19	180	8856
20	182	8485
21	182	8124
22	183	7791
23	184	7489
24	185	7217
25	185	6957
26	186	6738
27	187	6519
28	188	6313
29	189	6118
30	189	5934
31	190	5761
32	191	5597
33	191	5443
34	193	5345
35	195	5222
36	195	5098
37	196	4977
38	197	4860
39	197	4750
40	199	4655
41	199	4556
42	200	4461
43	201	4372
44	202	4287
45	202	4201
46	203	4119
47	203	4039
48	204	3972
49	205	3902
50	205	3832
51	206	3769
52	207	3705
53	208	3645
54	208	3586
55	209	3528
56	209	3473
57	211	3434
58	212	3386
59	213	3340
60	214	3294
61	214	3246
62	216	3216
63	217	3178
64	218	3136
65	218	3093
66	219	3051
67	219	3011
68	220	2971
69	220	2934
70	221	2897
71	221	2861
72	222	2828
73	223	2797
74	224	2765
75	225	2737
76	226	2709
77	226	2679
78	227	2649
79	227	2619
80	228	2590
81	228	2562
82	229	2533
83	230	2510
84	230	2485
85	231	2459
86	231	2433
87	232	2408
88	233	2385
89	233	2361
90	234	2339
91	234	2316
92	235	2297
93	236	2278
94	237	2260
95	238	2241
96	238	2221
97	239	2201
98	239	2181
99	240	2162
100	240	2143
101	241	2128
102	242	2114
103	243	2097
104	244	2080
105	244	2063
106	245	2046
107	245	2030
108	246	2014
109	247	1999
110	249	1995
111	249	1981
112	250	1967
113	251	1952
114	251	1938
115	252	1925
116	253	1910
117	254	1903
118	256	1900
119	257	1890
120	258	1878
121	259	1865
122	260	1858
123	261	1848
124	262	1835
125	262	1823
126	263	1810
127	263	1798
128	264	1786
129	265	1774
130	266	1768
131	267	1757
132	268	1748
133	269	1744
134	271	1737
135	273	1734
136	273	1725
137	274	1715
138	275	1705
139	276	1696
140	276	1686
141	277	1674
142	277	1664
143	279	1664
144	280	1655
145	281	1645
146	281	1635
147	282	1626
148	283	1616
149	283	1607
150	285	1605
151	286	1598
152	288	1596
153	289	1588
154	289	1580
155	292	1579
156	292	1573
157	293	1565
158	294	1556
159	294	1548
160	295	1539
161	295	1530
162	297	1525
163	298	1520
164	299	1517
165	300	1510
166	301	1503
167	302	1496
168	303	1493
169	304	1487
170	305	1480
171	306	1473
172	306	1466
173	307	1458
174	307	1451
175	308	1444
176	310	1441
177	310	1435
178	312	1432
179	313	1426
180	314	1422
181	315	1419
182	316	1415
183	317	1409
184	318	1403
185	319	1396
186	319	1390
187	320	1383
188	321	1377
189	322	1374
190	323	1368
191	323	1361
192	324	1355
193	324	1349
194	325	1343
195	326	1337
196	326	1331
197	328	1329
198	329	1326
199	330	1321
200	331	1317
201	331	1311
202	332	1306
203	333	1301
204	334	1298
205	335	1293
206	336	1288
207	336	1282
208	337	1277
209	338	1271
210	338	1266
211	339	1261
212	340	1258
213	341	1253
214	342	1249
215	343	1245
216	343	1240
217	344	1236
218	345	1231
219	346	1228
220	347	1223
221	347	1218
222	348	1214
223	349	1209
224	349	1204
225	350	1199
226	350	1194
227	351	1189
